1 (Sweep 1), GR1
2 (Sweep 1), GR2
3 (Sweep 1), GR2
4 (Sweep 1), GR2
5 (Sweep 1), GR3
6 (Sweep 1), GR3
7 (Sweep 1), GR3
8 (Sweep 1), GR3
9 (Sweep 1), GR3
10 (Sweep 1), GR3
11 (Sweep 1), GR4
12 (Sweep 1), GR4
13 (Sweep 1), GR4
14 (Sweep 1), GR4
15 (Sweep 1), GR4
16 (Sweep 1), GR4
17 (Sweep 1), GR5
18 (Sweep 1), GR5
19 (Sweep 1), GR5
20 (Sweep 1), GR5
21 (Sweep 1), GR6
22 (Sweep 1), GR6
44 (Sweep 2), GR7
43 (Sweep 2), GR8
42 (Sweep 2), GR8
41 (Sweep 2), GR8
40 (Sweep 2), GR9
39 (Sweep 2), GR9
38 (Sweep 2), GR9
37 (Sweep 2), GR9
36 (Sweep 2), GR9
35 (Sweep 2), GR9
34 (Sweep 2), GR10
33 (Sweep 2), GR10
32 (Sweep 2), GR10
31 (Sweep 2), GR10
30 (Sweep 2), GR10
29 (Sweep 2), GR10
28 (Sweep 2), GR11
27 (Sweep 2), GR11
26 (Sweep 2), GR11
25 (Sweep 2), GR11
24 (Sweep 2), GR12
23 (Sweep 2), GR12
